broader,name,rank,color,beg,beg_margin_of_error,end,end_margin_of_error
Miaolingian,Wuliuan,Age,#B3D492,509,,504.5,
Cambrian,Terreneuvian,Epoch,#8CB06C,538.8,0.2,521,
Terreneuvian,Cambrian Stage2,Age,#A6BA80,521,,509,
Terreneuvian,Fortunian,Age,#99B575,538.8,0.2,529,
Paleozoic,Carboniferous,Period,#67A599,358.9,0.4,298.9,0.15
Carboniferous,Mississippian,Sub-Period,#678F66,358.9,0.4,323.2,0.4
Mississippian,Lower Mississippian,Epoch,#80AB6C,358.9,0.4,346.7,0.4
Lower Mississippian,Tournaisian,Age,#8CB06C,358.9,0.4,346.7,0.4
Mississippian,Middle Mississippian,Epoch,#99B46C,346.7,0.4,330.9,0.2
Middle Mississippian,Visean,Age,#A6B96C,346.7,0.4,330.9,0.2
Mississippian,Upper Mississippian,Epoch,#B3BE6C,330.9,0.2,323.2,0.4
Upper Mississippian,Serpukhovian,Age,#BFC26B,330.9,0.2,323.2,0.4
Carboniferous,Pennsylvanian,Sub-Period,#7EBCC6,323.2,0.4,298.9,0.15
Pennsylvanian,Lower Pennsylvanian,Epoch,#8CBEB4,323.2,0.4,315.2,0.2
Lower Pennsylvanian,Bashkirian,Age,#99C2B5,323.2,0.4,315.2,0.2
Pennsylvanian,Middle Pennsylvanian,Epoch,#A6C7B7,315.2,0.2,307.0,0.1
Middle Pennsylvanian,Moscovian,Age,#B3CBB9,315.2,0.2,307.0,0.1
Pennsylvanian,Upper Pennsylvanian,Epoch,#BFD0BA,307.0,0.1,298.9,0.15
Upper Pennsylvanian,Gzhelian,Age,#CCD4C7,303.7,0.1,298.9,0.15
Upper Pennsylvanian,Kasimovian,Age,#BFD0C5,307.0,0.1,303.7,0.1
Paleozoic,Devonian,Period,#CB8C37,419.2,3.2,358.9,0.4
Devonian,Lower Devonian,Epoch,#E5AC4D,419.2,3.2,393.3,1.2
Lower Devonian,Emsian,Age,#E5D075,407.6,2.6,393.3,1.2
Lower Devonian,Lochkovian,Age,#E5B75A,419.2,3.2,410.8,2.8
Lower Devonian,Pragian,Age,#E5C468,410.8,2.8,407.6,2.6
Devonian,Middle Devonian,Epoch,#F1C868,393.3,1.2,382.7,1.6
Middle Devonian,Eifelian,Age,#F1D576,393.3,1.2,387.7,0.8
Middle Devonian,Givetian,Age,#F1E185,387.7,0.8,382.7,1.6
Devonian,Upper Devonian,Epoch,#F1E19D,382.7,1.6,358.9,0.4
Upper Devonian,Famennian,Age,#F2EDB3,372.2,1.6,358.9,0.4
Upper Devonian,Frasnian,Age,#F2EDAD,382.7,1.6,372.2,1.6
Paleozoic,Ordovician,Period,#009270,485.4,1.9,443.8,1.5
Ordovician,Lower Ordovician,Epoch,#1A9D6F,485.4,1.9,470.0,1.4
Lower Ordovician,Floian,Age,#41B087,477.7,1.4,470.0,1.4
Lower Ordovician,Tremadocian,Age,#33A97E,485.4,1.9,477.7,1.4
Ordovician,Middle Ordovician,Epoch,#4DB47E,470.0,1.4,458.4,0.9
Middle Ordovician,Dapingian,Age,#66C092,470.0,1.4,467.3,1.1
Middle Ordovician,Darriwilian,Age,#74C69C,467.3,1.1,458.4,0.9
Ordovician,Upper Ordovician,Epoch,#7FCA93,458.4,0.9,443.8,1.5
